,text
418,"amazing Rishabh Sir, Thank You for explanation."
419,Thank you so much sir❤ nice explained i understand all concepts no doubt
420,is it completet ? does it cover Relations ?
421,Greetings from Pakistan with lots of love
422,"Hey thanks for the SQL pdf document in the description box, great help"
423,"Hi Rishabh Mishra <br>I am facing some issue in creating tables in SQL, there is a lock sign that appears right after the column name how can I fix this issue."
424,You deserve more likes and subscribers bro.<br>Yet again itnaa hardwork kiya hai iss video me.<br>Itna saara acha material 🙌🌟
425,"nice video,,thank you......please teach Phython as well."
426,i want to know  about how to use sql for cds amdp in eclipse &amp; hana studio....
427,which simple books we want refer for sql for  abap s4 hana with all case statements &amp; functions...
428,After watching this i directly subscribe truly excellent video thanks  rishab
429,"thanks a bunch, took me 4 days to complete but totally worth it, now just gotta consistently practice some questions. Thank-you for keeping each topics very short and to the point, if one is curious enough  to figure out by oneself but with little guidance, it&#39;s too good one shot. Love from Nepal :)"
430,"Sir.  My query is not running. Kindly guide me.<br><br>Insert into Harshit1<br>(CustID,Name , Age ,city ,salary<br>Values<br>(1, Deepa , 26 ,&#39;Delhi&#39; ,9000<br>(2, Shiv, 34, &#39;GZB&#39;, 8900<br>(3, Pulkit, 55, Inderlok, 9090<br>(4, Jitendra , 44, Sahibabad , 9090))"
431,Very much helpful session .... thanks!!
432,"hi Rishab sir,can we restore the data of a turncated table. <br>please answer."
433,"Thanks, Rishabh, for making this wonderful video."
434,"yaar rishabh thank you so much,, bhaut simple aur jldi khtm krne wale courses banaye h ..kam se kam 3 saal se mujhe aisa teacher nai mil rha tha .. now i can finally learn sql"
435,Mind blowing..
436,"Sir,<br>The order of execution in sql is:<br>SELECT<br>FROM<br>WHERE<br>GROUP BY<br>HAVING CAUSE<br>ORDER BY<br>LIMIT..<br>you write order is right.."
437,software download link ?
438,"Sir, can we make a data entry form to insert data into the table and make reports from the data. For this purpose, what type of plate form do we use for it"
439,Hello Rishabh.. I am watching this video almost 10/11 months  after the video is uploaded.. Wanted to know is this video enough to study full SQL for beginners like me Nothing much needed after this video?😊
440,Really helpful thank you ❤❤
441,"People are earning money by selling course,<br>You are earning respect and blessings of middle class. They can’t take money in heaven but people like you will take blessings. Go on like this❤😊"
442,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=2330"">38:50</a> Import Excel File (CSV) to SQL ..is this not possible if i am using mysql command line client..??"
443,"Thanks Rishabh, even it is 1 year old video I got value from it"
444,bhai aapne table bnata time customer wala me alag id dali thi aab alaag h ......me try kr  rha hu sub same h fir bhe mujha error show hora ha
445,"Thank you, easy way of explaining which is helping in understanding concepts..🙏.. And your look and voice are like Munna of Mirzapur 😃 (Just for FUN). Amazing..👌"
446,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1623"">27:03</a>"
447,Stored Procedure and triggers ?
448,"Select ,From ,Groups by ,Where,Having,Order by ,Limit <br>Is this correct statement"
449,select &gt; from &gt; group by&gt; having &gt; where &gt; order by &gt; limit
450,"Thank you sir. I like your teaching style and content and also ppt , again thank you"
451,Pdf file kahan hy😊
452,👍
453,Thanks ! Much Helpful ❤🙌
454,"At <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=8852"">2:27:32</a>  Inside the CTE function, in the window function for average_price shouldn&#39;t there be &quot;PARTITION BY&quot; instead of &quot;ORDER BY&quot;?  Because if we are using ORDER BY in the window function for calculating AVERAGE then it is basically calculating the cumulative average of the previous all customer_ids until that customer_id right?<br>However, ideally, the window_function should give AVERAGE for each of the subclasses of the customer_ids, right?"
455,Bhai tu to vo hostel daze wala jat hai n ??<br>Achha improvement kiya knowledge me
456,"Thank you from the bottom of my heart for the video you have made in Hindi. You have explained about SQL in a very good way, we have been able to learn a lot about SQL from this video of yours. Please send your contact number."
457,Sir how can I download sql for live practice .
458,Bro you have a LUCID explaination I like your lecture very much.<br>Thanks very much and Best wishes for you
459,very nice
460,"Hey, tried to download postgresql multiple times but m not able to because  it show that it is not supporting i m trying to download latest version i.e. 16 m facing issue after i download it and follow the steps as according to the video which u have provided"
461,"order of execution<br>select from limit where group by having, order by"
462,"Sir, please provide the latest link for downloading SQL PPT. The mentioned link in description box shows error."
463,"PDF  document is not getting downloaded, it&#39;s showing an error. Could you please help."
464,attached pdf file is opening
465,"sir im not able to downlord ppt error 404 showing, kindly helop"
466,Excellent 👌👌👌 Work done 👍 Thank You Bro&#39;
467,Excellent  man!!
468,"select City,count(Salary) As total <br>from details <br>where City in (&#39;Pune&#39;,&#39;Banglore&#39;,&#39;Mumbai&#39;)<br>group by city<br>having count(Salary) &gt;=2 And count(Salary) &lt;=6<br>order by city desc<br>limit 1; execution flow"
469,thanks❤
470,"Hi sir can I get free certification from these details you gave and is it complete SQL learning, the way of teaching was awesome ❤"
471,Assignment -1  ans is<br>From -&gt;Where -&gt; Select -&gt; Group By -&gt; Having -&gt; Order By -&gt; Limit
472,"Hey Rishabh, your teaching style awesome, thanks a lot for that.<br>Here is order of execution in SQL  &gt; SELECT, FROM, WHERE, GROUP BY, HAVING, ORDER BY, LIMIT"
473,"time stamp <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3916"">01:05:16</a><br>order of execution  goes as below:<br>from<br>join (if applicable)<br>where<br>group by<br>having<br>select<br>order by<br>limit."
474,i love you sir
475,"Sir what about views,triggers,stored procedures,user defined functions.."
476,Shukriya rishab thanks a lot... you rock... tum bahot zabardast insaan ho. World needs people like u. Sab sey achi baat yeh hai k tumne yeh videos hindi mey banayi hai !
477,I loved the way you are explaining. Learning alot. Thank you 🙏
478,Copy command? How does it work under SQL workbench?
479,"@<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1809"">30:09</a> It was a good exercise. Here are my findings on ALTER command in SQL: <br>ALTER TABLE customer<br>ADD COLUMN gender char;<br><br>ALTER TABLE customer<br>RENAME COLUMN city TO location;<br><br><b>**To change datatype using ALTER COLUMN**</b><br><br>ALTER TABLE customer<br>ALTER COLUMN age SMALLINT;<br><br><b>*Set Default value in column email**</b><br><br>ALTER TABLE customer<br>ALTER COLUMN email SET DEFAULT &#39;Unknown&#39;;<br><br><b>*REMOVING DEFAULT VALUE FROM COLUMN email*</b><br><br>ALTER TABLE customer<br>ALTER COLUMN email DROP DEFAULT;"
480,"very very nice, simple, clear and to the point explanation sir..thanks so much for uploading it and putting all the valuable efforts..keep up with the great job..GOD BLESS YOU"
481,I am not able to operate pgAdmin how to install server in it ??
482,Please provide us the steps to install MySQL
483,Sir ye bta do how to delete data duplicates in postgresql
484,Bhaiya pls make vedio for SQL INTERMEDIATE LEVELS
485,"Hi Rishabh,<br><br>Thank you very much for your SQL COURSE <br><br>IT IS VERY GOOD ELABORATED WITH SIMPLE LANGUAGE AND EXAMPLES <br><br>YOUR TEACHING SKILLS IS VERY FANTASTIC AND IT WILL HELP ALL NON IT GUYS AS WELL AS IT GUYS <br><br>THANKS ONCE AGAIN"
486,Bhai jisme table creat kr rhe ho ap iska link dedo download nhi hora hai??
487,Thanks for this brilliant and amazing course...❤
488,Thank you for making this course that provides lots mean to learn process
489,Thanks Sir❤
490,Sir I want learn sql course
491,Thank you!!! Please make one mote video for interview questions 🙏 ❤
492,"Hi Rishab, I asked one question if my excel sheet date format is DD/MM/YY given then how to change format YY/MM/DD in mysql workbench."
493,Sir esme SQL full course hai
494,How to add space in between naam while using concate function?
495,"Bro ek confusion tha ki when we can transform data in Power BI then whats the use of using &#39;SQL&quot;. second when we clean our data using SQL, after connecting that sql data to power BI will all our queries data will be converted into new file or what will happen . I;m onfused"
496,There is sumthin wrong in insert  part or I did wrong. I don&#39;t know bt i did exactly same step by step. (Bt in result section there is an error column custid of relationship customer does not exist
497,"your explanation is super broh<a href=""UCkszU2WH9gy1mb0dV-11UJg/JAJ1XpGpJYnW8wTupZu4Cw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/1v50XorRJ8GQ8gTz_prwAg""></a>"
498,sir how to download your file from github... can u pls tell the steps....so that i can practice
499,thanks for this amazing video
500,Bhaiya ek solid sql project wala video mil jaaye toh maza aa jayega 🙂
501,"The order of execution is <br>SELECT, FROM, WHERE, GROUP BY, HAVING, ORDER BY, and finally LIMIT."
502,"When ever I am trying to insert values or trying to see that the table is created or not using select fuction.., it says..&#39;There is already an object named &#39;customer&#39; in the database.&#39; I am new to sql, can you please help."
503,joins
504,Subquery using Logical (IN) Operator and (EXISTS) operator<br>what is the difference between (IN) and (EXISTS) operators????  @RishabhMishraOfficial
505,"Hi Rishabh,<br><br> I have checked lots of material  in YouTube for SQL but this one of the best channel i have found. really appreciate your effort ,simplicity and dedication. Keep it bro 👍👍 Love from bangladesh"
506,Very easiest way you teaching
507,sir how to practice and where ?
508,"Dear Sir i m from Pakistan. My SQL , Microsoft SQL Amazon RDS all are same or different functions?"
509,"bhiya jaise ki hum sare function,clause condition lgakr sb time n all jo bhi output niklre usko hum usi table k column me kaise save krege"
510,SELECT→FROM→ WHERE→LIMIT→GROUP BY→ HAVING → ORDER BY
511,select  &gt; from &gt; where &gt; limit &gt; group by &gt; having &lt;order by
512,"Read sql tutorial with notes <a href=""https://sqlworld2023.blogspot.com/2023/09/history-of-sql.html"">https://sqlworld2023.blogspot.com/2023/09/history-of-sql.html</a>"
513,Thank U very much Bhai !
514,QA 1. <br>SELECT<br>FROM<br>WHERE<br>GROUP BY<br>HAVING<br>ORDER BY<br>LIMIT
515,This is really a great explanation❤❤ I am from non it background and you explain it very well so that everyone can understand it
516,"Quick Assignment 1:-<br>Order of execution with example:-<br><br>select mode, count(amount) as total<br>from payment<br>where amount &gt;= 100<br>group by mode<br>having count(mode) &gt;=2<br>order by total desc<br>limit 5"
517,Very helpful
518,Thanks bhai for this video😊
519,Sir when we are creating tables directly its not accepting length scale and prescion 😢
520,Select roll no from class<br>Where roll no &gt;5<br>Limit 10<br>Group by roll no<br>Having roll no&gt; =5<br>Order by Asc
521,Thank you for the video i just completed studying and will download pdf to practice
522,Bro..business analyst me kaun sa sql krna chahiye..uska koi course me help kro
523,Thank you so much sir for this video. It really helped me a lot.❤
524,Helpful❤
525,"why we are sepcifically using this sql insted of oracle,mysql etc"
526,sir pdf kaha se download kare
527,Thanks sir for your support
528,Thanks for the explain of SQL.. it&#39;s very helpful for everyone.. can you please share this pdf which you are explaining.
529,Thanks a lot for SQL. PLEASE TEACH Tableau in the same way.
530,Hi bhai you are fantastic  man
531,"SELECT mode,SUM(amount) AS total<br>FROM payment<br>WHERE mode=&#39;Credit Card&#39; OR  mode =&#39;Cash&#39;<br>GROUP BY mode<br>HAVING SUM(amount)&gt;420<br><br>output:<br>mode   total<br>Cash     440"
532,"content acha ha but smjhany ka way acha nai ha,bhut zayada breaks lety hu ap bhai."
533,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=4385"">1:13:05</a>"
534,"Assignment 2:- <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=7945"">2:12:25</a><br>SELECT new_id,<br>LEAD(new_id, 2) OVER(ORDER BY new_id) AS &quot;LEAD&quot;,<br>LAG(new_id, 2) OVER(ORDER BY new_id) AS &quot;LAG&quot;<br>FROM test_data;"
535,Sir is this much SQL knowledge  enough for data analysis??
536,Thank you so much brother
537,"HI SIR HOW ARE YOU, I JUST COMPLETED SQL FULL LECTURE VIDEO, THANK YOU SO MUCH FOR THIS VIDEO SIR IT HELPS A LOT AND COVERS ALL IMPORTANT  TOPIC WHICH IS REQUIRED BUT I HAVE ONE DOUBT ABOUT SIR, I JUST WANT TO KNOW  WHEN I WRITE QUARY ON POST-SQL SOME TIME I GET ERROR AND ALSO GET INFORMATION  AS SYNTAX ERROR,  BUT I TRY TO WRITE CORRECTLY BUT ITS ALWAYS INCORRECT PLEASE TELL ME SIR HOW CAN I WRITE AND CORRECT QUARY WITHOUT ERROR FREE SIR PLEASE DO NEEDFUL FOR ME SIR,......."
538,Thanks
539,"Time:- <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=2406"">40:06</a> , I unable to solve this <br> (ERROR:  could not open file &quot;F:\ Book1&quot; for reading: No such file or directory<br>HINT:  COPY FROM instructs the PostgreSQL server process to read a file. You may want a client-side facility such as psql&#39;s \copy. <br><br>SQL state: 58P01Query returned successfully in 145 msec.)"
540,"Assignment 1:- <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3884"">1:04:44</a> <br>Order of Execution in SQL:<br>1.) FROM<br>2.) WHERE<br>3.) GROUP BY<br>4.) HAVING<br>5.) SELECT<br>6.)ORDER BY<br>7.) LIMIT"
541,Mr Mishra doing God&#39;s work.
542,Sir used in aggregate function in window total me value h same code same table create I am but output is different in total box .
543,Sir kon sa editior use kiya apne
544,"Hi Sir, I am Ankush When I imported my file I got the ERROR:  invalid byte sequence for encoding &quot;UTF8&quot;: 0x00<br>CONTEXT:  COPY customers, line 1. How can I resolve this Issue"
545,Very Very Useful and Easy to learn tutorial.. Thank you Rishabh 😊
546,thanks for I have completed it
547,Select * from ... <br>Where... <br>Group by.... <br>Having.... <br>Order by.... <br>Limit.....
548,i dont know why sql didn&#39;t working in my laptop that show fill up ur password etc again and again
549,It would be helpful if you make vedios in English 😊
550,Can we use same command on mac terminal using percona
551,❤❤very good sir plz make one more pdf with video of postgresql
552,Please teach python also which we needed most for data science advance level only thank you in advance
553,Do you have any video having MS SQl project with dashboard on Power BI? Please guide
554,"Assignment1 Ans  From , Where , Group By ,  Having, Select , Order By , Limit"
555,which compiler are u used here??
556,"Time stem <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3884"">01:04:44</a> Quick Assignment 1 Answer: I am not cheating...hope the answer is right: <br>1)SELECT <br>2) FROM <br>3)LIMIT<br>4) WHERE<br>5) ORDER BY<br>6) GROUP BY <br>7) HAVING<br>Please correct me if I&#39;m wrong."
557,"Select, from, limit, where, group by, having, order by"
558,Where I can find the pdf?
559,constraint ka jo bole apne k school mai roll no. blank nhi hone chia or hua toh  wo data usko lega he nhi wo error through kar dega or data ko system mai feed he nhi karega es type ki error se bachhne k lia constraints ka  use karty hai . But use he karty hai na constraints k es type ka error throgh kar sky mujhe confusing laga or wrong bhi?
560,"i am using mac and not able to import the csv file via any of the methods , tried both query method and manual import method<br>msg<br>ERROR:  could not open file &quot;documents:\customer.csv&quot; for reading: No such file or directory<br>HINT:  COPY FROM instructs the PostgreSQL server process to read a file. You may want a client-side facility such as psql&#39;s \copy. <br><br>SQL state: 58P01<br>can you help as there is no division in the harddrive section as present in windows and even after copying exact links i am not able to get the file imported"
561,How to compare to tables?
562,Functions kaam nahi kr rhe hai kaafi Sare MS Sql mai
563,MS Sql per video banaye
564,Best Content Sir Hats off<br>Flawless Teaching
565,"thank you son, god bless u for excellent tutorial"
566,hi sir <br>mai first time sql sikh raha hun kafi helpful video hai aapki<br>thanks aap ke is video ke lia<br><br>sir pdf kaha milega
567,"I think after watching your video, struggles for students are gone in SQL. Amazing explanation. Thank you so much for covering all topic so smoothly."
568,"How to use pgadmin 4 , facing some difficulty while using , could you please help here or make any short video for it."
569,Thaku sir..nice video.
570,@RishabhMishraOfficial Is it suefficient for a data analyst or more details needed please answer.
571,Hi sir getting error colum &quot;custid&quot; Of relation &quot;customer&quot; Doesn&#39;t exist
572,A1<br>SELECT FROM WHERE GROUPBY HAVING LIMIT
573,Thank you buddy
574,SLECT FROM WHERE<br>LIMIT<br>GROUP BY<br>HAVING<br>ORDER BY<br>(((THIS ONE IS CORRECT SIR YES OR NO SIR)))
575,Thank you so much for this amazing video ❤
576,"Can you Expain char, varchar, number, date, large object"
577,Started many sql courses but never completed until I found this. Kudos Rishabh Subscribed..!
578,Hi sir muje student creat table pe video dalgne ka app
579,"my bigeest problem is to understand when to use collan, comma, bracket or any other symbol...why is that not explained ?"
580,Plz do one video on substr and instr
581,"select,from,where,limit,group by,having,order by its correct or not assignment 1"
582,"hello brother..Thank you so much for making this owsm video..actually i follow complete road map  for data Analyst..which you recommended.. But i  have one problem in this video..which is &quot; import CSV File into SQL &quot; Please tell me how could i fixed this error..I had search about it..untill 2 days..but i couldn,t find any solution....please please....imform me i am very motivated at this time to complete my course."
583,"I wanted to learn excel, SQL, coding. I have watched your excel full tutorial video and practiced one day. Trust me, i have learned exactly what you have shown in ur Excel tutorial video in a day. And now I&#39;m watching ur SQL video and it&#39;s my first day. But i feel, it&#39;s a little bit hard. Coz i have to replay some parts 3,4 times. But i hope, i will learn it quickly. Thank you for your free informative tutorial videos😊😊😊❤❤❤"
584,IS it only me who is facing problems while writing these queries in MySQL workbench? I just know what is happening at this point??
585,"Great job Sir, keep it up."
586,You made SQL easier Rishabh... Hats off to You 🙌✌   U hv Great teaching skills.. Keep Going Brother 😎 Wishing you all the very very Best 👏👏
587,Hey Rishabh bro with this video you just made my fear of sql disappear ❤
588,BHAI PLS.. PYTHON PE BHI TUTORIAL BNA DO. we are eagerly waiting for it.....
589,THIS IS THE BEST SQL VIDEO......
590,Fantastic Video For freshers.
591,"Order of execution in SQL answer: <br>SELECT, FROM, WHERE, GROUP BY, HAVING, ORDER BY, LIMIT."
592,Can you pls make video in english. It will be more helpful. Since the way of teaching is so nice it will be helpful if you explain in english too
593,"Rishab bhai i am getting error when <br><br>insert into (table name)<br>(CustID,Name,Age,City,Salary)<br>Values<br>(1, &#39;Rishi&#39;, &#39;25&#39;, &#39;Bihar&#39;, &#39;9000&#39;),<br><br>I add four line  according to your video.<br>But after running the command there is showning a error<br>That is<br>Column &quot;custid&quot; of relation &quot;Rishi&quot; does not exist<br>Line2: (Custid, name, age, city,         salary)"
594,please share your email id
595,what is schema?
596,A BIG thanx to you Rishab for helping me understand SQL topics in a very easy-to-understand way. I had attended many classes previously but none of the classes were close to what you have taught. Thank you so much...God bless you!!!
597,"@Rishabh Mishra <br>I am trying to execute- ALTER TABLE-alter/modify column syntax query on version 15.<br>QUERY:     ALTER TABLE customer<br>                  ALTER COLUMN &quot;Salary&quot; FLOAT; <br><br>But I am getting error:<br><br>ERROR:  syntax error at or near &quot;FLOAT&quot;<br>LINE 2: ALTER COLUMN &quot;Salary&quot; FLOAT;<br>                              ^"
598,"Rishabh Bhai you&#39;re the ideal explanation of how a human should be = &quot;Humble and Kind&quot;. And people might&#39;ve ignored this line but I ain&#39;t i.e &quot;Khud se pucho ki shuru kyu kiya tha, career mei kuch bada karna hai&quot; . Thanks for helping us all."
599,Which command is used to show structure of the table?
600,"Your videos are very helpful.<br>Thank you sir.<br>I used USE command.<br>But when I try to DROP a database.<br>It&#39;s showing error as,&#39;It is currently in use&#39;<br>How to exit or close current database?<br>Please guide.<br>Thank you"
601,Thank you very much brother
602,ky bhai pdf download hi nahi ho rha
603,Thanks for insights
604,download sql from where
605,What is normalisation?
606,I want permission from you can i Upload your data Analytics Roadmap on my LInkedin Post
607,Thankyou so much sir God bless you
608,Thank you so much for this wonderful video. God bless always
609,A big thanks to you
610,Very easily you taught really i understood it very easily
611,"SELECT department, COUNT(salary) AS total <br>FROM book<br>WHERE age &lt; 40<br>GROUP BY department<br>HAVING COUNT(salary) &gt;= 10 AND COUNT(salary) &lt;=20<br>ORDER BY total ASC<br>LIMIT 50"
612,PostgreSQL subscribation mang rha sir... from where we can download this pls share the link @rishabh Mishra
613,plz make video on sql course on mysql workbench and plz cover regex also
614,Thank you so much bro. 🙏🙏🙏🙏
615,"In MS SQL server, it is not case sensitive."
616,Thx Rishab its only because of you I got placement 🎉
617,"thank you sir ,we&#39;ll support you <br>we appreciate your hard work ......"
618,"Order of execution of these sql quesries willbe in same order as yo have shared, am i Correct? i checked with chatgpt also and it gave same as i said"
619,Rishabh I am from Non IT background. Can i get a job as a Data analyst after learning SQL from Your channel ?
620,sir i am faccing issues during insert table I was also write true code but error is come why?
621,Your way of teaching is very good👌👌👌👌
622,Hello Rishab I&#39;m from Pakistan. I really liked your videos cuz  they are straight to the point. However I&#39;m getting an error while importing an excel csv file to my pgadmin server my excel is active and also I&#39;ve save my file in csv format but still it shows process started and after that it gives a message that processs failed.<br>Thank u
623,select *  == select sabkuch  😁 thanks for the video. well explained
624,Sir isme martingale kase layout karenge
625,Thank you sir.. for uploading such a precious video.. your teaching ability is so incredible
626,SIR MAINE AV EK TABLE BNAYA USM INSERT INTO CUSTOMER KRK SARI INFO DALDI BUT WHEN I RUN THIS QUERY THEN ERROR OCCURED RELATED WITH CUST ID RELATION DOESNOT EXIST WHAT IS THE SOLUTION
627,Really clever explanation and no unnecessary verbiage! Respect! + subscription
628,select from group by where having order by
629,"Thank you so much for this one brother, perfect one to revise all the important concepts of SQL with practical examples :)"
630,Difference between join and set operator..???
631,You are amazing my brother... ♥
632,SELECT<br>FROM <br>WHERE<br> GROUP BY <br>HAVING<br>LIMIT <br>ORDER BY
633,bhaiya query me code likhke run karta hu to run nahi ho raha likhke aa raha h ki no data output execute  a query to get output
634,"I really appreciate your content. Please make more videos like this. Thank you, sir.🙏"
635,"ERROR:  column &quot;name&quot; of relation &quot;anuj&quot; does not exist<br>LINE 2: (id,Name,age)<br>            ^ <br><br>SQL state: 42703<br>Character: 22"
636,"sir, data insert karta samay  relation not found aa raha ha table m error nahi mill raha"
637,"From, where, group by, having, select, order by, limit"
638,Thank you sir this knowledge is to crack the interview 😊
639,"Hi Rishabh,<br><br>Hope you are doing good!<br><br>The way you are explaining about courses and tools are pretty good, kindly guide me how we can connect with you regarding few course."
640,Such a appreciating work done by you sir... We are very thankful to you for providing the better quality of source of education to enhance  the skills... 🙌
641,Thank you sir 🙏
642,Sirf itna pdh k interview de skte hai kya....?
643,Amazing session 😊
644,bhai i lobe uuu
645,Chutiye installation to dikha
646,Bro ap ne jo table bnaya payment wala jidr ap joins ka bata rhy hn us ma 1 column h payment_date wala us ki data type date to ap us ma insert kaise kar rhy date time and year mere se ho rha kindly help
647,Guru...❤ True Indian education..... Congratulations 🎉👏
648,Thank you sir
649,Can I get the job of data analyst while pursuing graduation degree plzz reply
650,31.42
651,"Thanks for your Video, It helped a lot in my Interview Preparation, Can you please make a beginner series for Python."
652,Thanku for this video❤❤
653,isme Accounting entry kar sakte hai ??
654,Sir thank u so much itna badhiya course bnane ke liye.. Not for once I got bored and i really enjoyed doing it.. Can u please make python interview questions.. It will be of great help.. Thank u once again for being such a amazing teacher
655,Thank u so much sir 🙏
656,sir how can we use SQL through website...please help sir
657,Hello Rishab. I find your video so informative and helpful but i guess this is the older version of it. Can you please make a short video on the new version for a better understanding. there are a lot of changes and being a beginner i am struggling a lot.  Kindly help
658,"oh my god, thiis is exactly what i needed"
659,What is the name of the software that rishabh you used to run SQL query and how can we download that ?
660,You are awesome 💯 thank you so much ❤️
661,"Hello Rishab..Thank you for the lovely session. It really helps a lot...just a big request as you explain very well ,could you please make full length video on Ms Excel covering all Advance MS Excel formula end to end. Please 🙏<br>@rishabhmishraoffical<br>Thank you once again<br><br>Harshit Shukla"
662,you are boon to learners sir
663,"This tutorial should have been even more practical than theoretical and I know it could be one hour more long video but it would have been more worth to watch. By the way, It is ohk for revision. Good tutorial !!"
664,"Assignment:<br>EXECUTION FLOW IN SQL<br>1.FROM<br>2.WHERE<br><a href=""http://3.group/"">3.GROUP</a> BY <br>4.HAVING <br><a href=""http://5.select/"">5.SELECT</a><br>6.ORDER BY<br>7.LIMIT"
665,select column_name<br>from table_name<br>where condition_name<br>group by cloumn_name<br>having condition_name<br>order by cloumn_name<br>limit value;
666,great afford  sir
667,Same video create in mysql
668,"Thanks a lot brother , literally helped me understand SQL so well . Please keep providing your videos on other data science skills ."
669,Sukria bhaiya
670,"Thank you for such an amazing learning experience, looking forward to taking more classes taught by you"
671,Sir how. Can install notes of this vedio
672,rishab bhai shirt kaafi acchi lag rhi h......
673,Hi Mishra ji kya aap Online class dete hai SQL ki??
674,Commenting for better reach. Have reached 30 mins of the video and so far it&#39;s very much understandable. Thank you 🙏
675,Great video. thanks a lot for this excellent content 😇
676,I applied the string function &amp; it&#39;s successfully run but When i seen my data through select * from Command_1 then I didn&#39;t find any changes..
677,Hi Sir I want the answer for the assignment 1 mentioned in video just to cross check whether I have analysed in correct way or not.
678,It will be in the same order as mentioned in the question
679,"Select , from, where, group by, having, limit ,order by"
680,Thankyou so much
681,Isme coding bhi btaya hai kya apne kaise data update karte hai wagerah?
682,"There is one more type of sql command that is TCL which includes commands like commit, savepoint, rollback set transaction"
683,osm video 👌
684,thank you so much for this tutorial :-)
685,"Hi Rishabh,,I am the mother of two kids..But just because of your content I am motivated and doing practice....please make full tutorial on POWER BI and Python"
686,Assignment 1<br>Select *<br>From table_name<br>Group by mode<br>Having (condition)<br>Where (Condition)<br>Order by<br>Limit
687,HOW CAN SOMEONE BE SUCH AN AMAZING CREATOR IN THE ERA WHERE EVERYONE IS BEHIND SELLING THEIR COURSES??
688,"explained it in so simple way,it was much easier to quickly understand topics"
689,These course is enough to crack the interview??
690,Bro Tera jesa koi nahi mast bro
691,Select columns_name From table_ where condition () group by column_ name<br>Having condition ();
692,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=8493"">2:21:33</a> Us Bro Us 🙃"
693,"this video is extremely helpful thank you  for such  amazing video  , i am not it student now im able to write sql queries basics thnk you"
694,"In windows function example no 1 (Partition by) it does not add total of similar name. AT FIRST,it shows &quot;Agni&quot; TOTAL 100 and then &quot;Agni&quot; TOTAL 200. IT adds when 2nd time similar names appear.Not as u shown. btw best course😇"
695,"hello Rishabh, thank you for this video and explaining some of the difficult concepts in such a easy ways🙏"
696,"sir har baar syntax error aa rha hai , insert karte time please fix it"
697,can you provide sql with python too
698,how can we install PG admin 4 ?
699,"Hi Rishab sir.. your videos are awesome,for a person who is currently working in a non IT domain from 7years.. Is  the person has a chance to move in IT domain with SQL... please answer the question"
700,How can i practice it in my laptop? I mean from where i can get SQL software?
701,Very nice initiative. 👍
702,SELECT<br>FROM<br>WHERE<br>GROUP BY<br>HAVING<br>ORDER BY<br>LIMIT
703,U r best your explanation gives very clarity
704,👏👏👏👏👍👍👍👍👍👍
705,"Tried learning sql  from lot of youtube contents , but isse easy, simple kuch nhi ... <br>Thank you so much bhaiya 🎉🎉🎉🎉😊"
706,Excellent 👍
707,I also facing the same issue  of insert values into customer it gives error column &#39;CustID&#39; of relation &#39;customer&#39; does not exist
708,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=5792"">01:36:32</a> join means it represent self join but you said its inner join please note mistake and give me heart"
709,"One of the best video ever I seen, thank you so much bhai, keep rock bhai..!!!🤘🙏"
710,How to download the pdf for PPT. I can&#39;t find here
711,Last one was Epic &quot;Congratulations you Completed Course Successful&quot; 😅🎉
712,Sir pura file ko print karna chaha ta hu lakin page bohat jayda da
713,Really appreciate your effort
714,"order of execution:<br>FROM <br>WHERE<br>GROUP BY<br>HAVING<br>SELECT<br>ORDER BY<br>LIMIT"
715,I like that select sabkuch😂
716,Which websites can be used for practising SQL queries?
717,sir alter table wali slides main add column aur drop column ka syntax main datatype missing hay
718,Please suggest a book to learn and practice SQL.
719,"Sharma ji ka beta jitna bhi naam kama le dil toh mishra ji hi le jayenge....<a href=""http://www.youtube.com/results?search_query=%23incrediblejob"">#incrediblejob</a> brother"
720,"order of excucation = SELECT ,FROM,WHERE,LIMIT,GROUP BY,HAVING,ORDER BY"
721,hi i couldnt find the pdf .. the link is not working
722,SELECT FROM WHEREGROUP BY HAVING ORDERBY LIMIT😋
723,Sir is this sufficient for placements?
724,SELECT \ FROM \ WHERE \ HAVING \ GROUP BY \ LIMIT \ ORDER BY.
725,Amazing video and i learn alot of things
726,"Hi Rishab, I have one confusion. After creating a database in SQL, if my system gets auto-restarted, I am not able to find the database in SQL. I have to create the tables again. Can you help me with the solution?"
