text,sentiment
bhiya jaise ki hum sare functionclause condition lgakr sb time n jo bhi output niklre usko hum usi table k column kaise save krege,Negative
select→from→ where→limit→group by→ → order,Negative
select limit group order,Negative
read sql tutorial note sqlworld2023blogspotcom202309historyofsqlhtml,Positive
thank u much bhai,Positive
qa 1 selectfromwheregroup byhavingorder bylimit,Positive
really great explanation❤❤ non background explain well everyone understand,Positive
quick assignment 1order execution exampleselect mode countamount totalfrom paymentwhere amount 100group modehaving countmode 2order total desclimit 5,Positive
helpful,Positive
thanks bhai video😊,Positive
sir create table directly accept length scale prescion 😢,Positive
select roll classwhere roll 5limit 10group roll nohaving roll 5order asc,Negative
thank video complete study download pdf practice,Neutral
brobusiness analyst kaun sa sql krna chahiyeuska koi course help kro,Positive
thank much sir video really help lot❤,Positive
helpful❤,Positive
sepcifically use sql insted oraclemysql etc,Negative
sir pdf kaha se download kare,Neutral
thanks sir support,Positive
thanks explain sql helpful everyone please share pdf explain,Positive
thanks lot sql please teach tableau way,Positive
hi bhai fantastic man,Positive
select modesumamount total payment modecredit card mode cash group mode sumamount420outputmode totalcash 440,Negative
content acha ha smjhany ka way acha nai habhut zayada break lety hu ap bhai,Negative
11305,Positive
assignment 2 21225select newidleadnewid 2 overorder newid leadlagnewid 2 overorder newid lagfrom testdata,Positive
sir much sql knowledge enough data analysis,Positive
thank much brother,Positive
hi sir complete sql full lecture video thank much video sir help lot cover important topic require one doubt sir want know write quary postsql time get error also get information syntax error try write correctly always incorrect please tell sir write correct quary without error free sir please needful sir,Positive
thanks,Positive
time 4006 unable solve error could open file f book1 read file directory hint copy instructs postgresql server process read file may want clientside facility psqls copy sql state 58p01query return successfully 145 msec,Neutral
assignment 1 10444 order execution sql1 from2 where3 group by4 having5 select6order by7 limit,Positive
mr mishra god work,Positive
sir use aggregate function window total value h code table create output different total box,Neutral
sir kon sa editior use kiya apne,Positive
hi sir ankush import file get error invalid byte sequence encode utf8 0x00 context copy customer line 1 resolve issue,Neutral
useful easy learn tutorial thank rishabh 😊,Positive
thanks complete,Positive
select group order limit,Negative
dont know sql didnt work laptop show fill ur password etc,Positive
would helpful make vedios english 😊,Positive
use command mac terminal use percona,Neutral
❤❤very good sir plz make one pdf video postgresql,Positive
please teach python also need data science advance level thank advance,Neutral
video m sql project dashboard power bi please guide,Positive
assignment1 an group select order limit,Negative
compiler u use,Neutral
time stem 010444 quick assignment 1 answer cheatinghope answer right 1select 2 3limit4 where5 order by6 group 7 havingplease correct im wrong,Negative
select limit group order,Negative
find pdf,Neutral
constraint ka jo bole apne k school mai roll blank nhi hone chia hua toh wo data usko lega nhi wo error kar dega data ko system mai feed nhi karega e type ki error se bachhne k lia constraint ka use karty hai use karty hai na constraint k es type ka error throgh kar sky mujhe confuse laga wrong bhi,Negative
use mac able import csv file via method try query method manual import methodmsgerror could open file documentscustomercsv read file directoryhint copy instructs postgresql server process read file may want clientside facility psqls copy sql state 58p01can help division harddrive section present window even copy exact link able get file import,Neutral
compare table,Positive
function kaam nahi kr rhe hai kaafi sare m sql mai,Neutral
m sql per video banaye,Negative
best content sir hat offflawless teach,Positive
thank son god bless u excellent tutorial,Positive
hi sir mai first time sql sikh raha hun kafi helpful video hai aapkithanks aap ke video ke liasir pdf kaha milega,Neutral
think watch video struggle student go sql amazing explanation thank much cover topic smoothly,Positive
use pgadmin 4 facing difficulty use could please help make short video,Neutral
thaku sirnice video,Negative
rishabhmishraofficial suefficient data analyst detail need please answer,Neutral
hi sir get error colum custid relation customer doesnt exist,Neutral
a1select groupby limit,Positive
thank buddy,Positive
slect wherelimitgroup byhavingorder bythis one correct sir yes sir,Positive
thank much amaze video ❤,Positive
expain char varchar number date large object,Positive
start many sql course never complete find kudos rishabh subscribe,Neutral
hi sir muje student creat table pe video dalgne ka app,Positive
bigeest problem understand use collan comma bracket symbolwhy explain,Negative
plz one video substr instr,Positive
selectfromwherelimitgroup byhavingorder correct assignment 1,Positive
hello brotherthank much making owsm videoactually follow complete road map data analystwhich recommend one problem videowhich import csv file sql please tell could fix errori search ituntill 2 daysbut couldnt find solutionplease pleaseimform motivate time complete course,Neutral
want learn excel sql cod watch excel full tutorial video practice one day trust learn exactly show ur excel tutorial video day im watch ur sql video first day feel little bit hard coz replay part 34 time hope learn quickly thank free informative tutorial videos😊😊😊❤❤❤,Positive
face problem write query mysql workbench know happen point,Neutral
great job sir keep,Positive
make sql easier rishabh hat 🙌✌ u hv great teaching skill keep go brother 😎 wish best 👏👏,Positive
hey rishabh bro video make fear sql disappear ❤,Positive
bhai pls python pe bhi tutorial bna eagerly wait,Neutral
best sql video,Positive
fantastic video fresher,Positive
order execution sql answer select group order limit,Negative
pls make video english helpful since way teach nice helpful explain english,Negative
rishab bhai get error insert table namecustidnameagecitysalaryvalues1 rishi 25 bihar 9000i add four line accord videobut run command showning errorthat iscolumn custid relation rishi existline2 custid name age city salary,Neutral
please share email id,Negative
schema,Positive
big thanx rishab help understand sql topic easytounderstand way attend many class previously none class close teach thank muchgod bless,Positive
rishabh mishra try execute alter tablealtermodify column syntax query version 15query alter table customer alter column salary float get errorerror syntax error near float line 2 alter column salary float,Neutral
rishabh bhai youre ideal explanation human humble kind people mightve ignore line aint ie khud se pucho ki shuru kyu kiya tha career mei kuch bada karna hai thanks help u,Positive
command use show structure table,Positive
video helpfulthank siri use use commandbut try drop databaseits show error asit currently usehow exit close current databaseplease guidethank,Negative
thank much brother,Positive
ky bhai pdf download hi nahi ho rha,Neutral
thanks insight,Positive
download sql,Neutral
normalisation,Positive
want permission upload data analytics roadmap linkedin post,Positive
thankyou much sir god bless,Positive
thank much wonderful video god bless always,Positive
big thanks,Positive
easily teach really understood easily,Positive
select department countsalary total book age 40 group department countsalary 10 countsalary 20 order total asc limit 50,Positive
postgresql subscribation mang rha sir download pls share link rishabh mishra,Positive
plz make video sql course mysql workbench plz cover regex also,Positive
thank much bro 🙏🙏🙏🙏,Positive
m sql server case sensitive,Neutral
thx rishab get placement 🎉,Neutral
thank sir well support appreciate hard work,Positive
order execution sql quesries willbe order yo share correct check chatgpt also give say,Positive
rishabh non background get job data analyst learn sql channel,Positive
sir faccing issue insert table also write true code error come,Positive
way teach good👌👌👌👌,Neutral
hello rishab im pakistan really like video cuz straight point however im get error import excel csv file pgadmin server excel active also ive save file csv format still show process start give message process failedthank u,Neutral
select select sabkuch 😁 thanks video well explain,Positive
sir isme martingale kase layout karenge,Positive
thank sir upload precious video teach ability incredible,Positive
sir maine av ek table bnaya usm insert customer krk sari info daldi run query error occur related cust id relation doesnot exist solution,Negative
really clever explanation unnecessary verbiage respect subscription,Positive
select group order,Negative
thank much one brother perfect one revise important concept sql practical example,Positive
difference join set operator,Neutral
amaze brother ♥,Positive
selectfrom group havinglimit order,Positive
bhaiya query code likhke run karta hu run nahi ho raha likhke aa raha h ki data output execute query get output,Neutral
really appreciate content please make video like thank sir🙏,Positive
error column name relation anuj exist line 2 idnameage sql state 42703 character 22,Neutral
sir data insert karta samay relation find aa raha ha table error nahi mill raha,Neutral
group select order limit,Negative
thank sir knowledge crack interview 😊,Positive
hi rishabh hope good way explain course tool pretty good kindly guide connect regard course,Positive
appreciate work do sir thankful provide good quality source education enhance skill 🙌,Positive
thank sir 🙏,Positive
sirf itna pdh k interview de skte hai kya,Neutral
amaze session 😊,Positive
bhai lobe uuu,Neutral
chutiye installation dikha,Positive
bro ap ne jo table bnaya payment wala jidr ap join ka bata rhy hn u 1 column h paymentdate wala u ki data type date ap u insert kaise kar rhy date time year mere se ho rha kindly help,Positive
guru❤ true indian education congratulation 🎉👏,Positive
thank sir,Positive
get job data analyst pursue graduation degree plzz reply,Neutral
3142,Positive
thanks video help lot interview preparation please make beginner series python,Positive
thanku video❤❤,Negative
isme accounting entry kar sakte hai,Neutral
sir thank u much itna badhiya course bnane ke liye get bore really enjoy u please make python interview question great help thank u amaze teacher,Positive
thank u much sir 🙏,Positive
sir use sql websiteplease help sir,Positive
hello rishab find video informative helpful guess old version please make short video new version well understanding lot change beginner struggle lot kindly help,Positive
oh god thiis exactly need,Positive
name software rishabh use run sql query download,Neutral
awesome 💯 thank much ❤️,Positive
hello rishabthank lovely session really help lotjust big request explain well could please make full length video m excel cover advance m excel formula end end please 🙏rishabhmishraofficalthank againharshit shukla,Positive
boon learner sir,Positive
tutorial even practical theoretical know could one hour long video would worth watch way ohk revision good tutorial,Negative
assignmentexecution flow sql1from2where3group 4having 5select6order by7limit,Positive
select columnnamefrom tablenamewhere conditionnamegroup cloumnnamehaving conditionnameorder cloumnnamelimit value,Neutral
great afford sir,Positive
video create mysql,Neutral
thanks lot brother literally help understand sql well please keep provide videos data science skill,Positive
sukria bhaiya,Positive
thank amaze learn experience look forward take class teach,Positive
sir install note vedio,Positive
rishab bhai shirt kaafi acchi lag rhi h,Neutral
hi mishra ji kya aap online class dete hai sql ki,Neutral
comment good reach reach 30 min video far much understandable thank 🙏,Positive
great video thanks lot excellent content 😇,Positive
apply string function successfully run see data select command1 didnt find change,Neutral
hi sir want answer assignment 1 mention video cross check whether analysed correct way,Neutral
order mention question,Positive
select group limit order,Negative
thankyou much,Positive
isme cod bhi btaya hai kya apne kaise data update karte hai wagerah,Neutral
one type sql command tcl include command like commit savepoint rollback set transaction,Negative
osm video 👌,Negative
thank much tutorial,Positive
hi rishabhi mother two kidsbut content motivate practiceplease make full tutorial power bi python,Positive
assignment 1select tablenamegroup modehaving conditionwhere conditionorder bylimit,Positive
someone amaze creator era everyone behind selling course,Positive
explain simple wayit much easier quickly understand topic,Positive
course enough crack interview,Positive
bro tera jesa koi nahi mast bro,Positive
select columnsname table condition group column namehaving condition,Negative
22133 u bro u 🙃,Positive
video extremely helpful thank amaze video student im able write sql query basic thnk,Positive
window function example 1 partition add total similar name firstit show agni total 100 agni total 200 add 2nd time similar name appearnot u show btw best course😇,Positive
hello rishabh thank video explain difficult concept easy ways🙏,Positive
sir har baar syntax error aa rha hai insert karte time please fix,Neutral
provide sql python,Neutral
install pg admin 4,Positive
hi rishab sir video awesomefor person currently work non domain 7years person chance move domain sql please answer question,Positive
practice laptop mean get sql software,Neutral
nice initiative 👍,Positive
selectfromwheregroup byhavingorder bylimit,Positive
u r best explanation give clarity,Negative
👏👏👏👏👍👍👍👍👍👍,Positive
try learn sql lot youtube content isse easy simple kuch nhi thank much bhaiya 🎉🎉🎉🎉😊,Positive
excellent 👍,Positive
also face issue insert value customer give error column custid relation customer exist,Neutral
013632 join mean represent self join say inner join please note mistake give heart,Neutral
one best video ever see thank much bhai keep rock bhai🤘🙏,Positive
download pdf ppt cant find,Neutral
last one epic congratulation complete course successful 😅🎉,Positive
sir pura file ko print karna chaha ta hu lakin page bohat jayda da,Neutral
really appreciate effort,Positive
order executionfrom group select order limit,Negative
like select sabkuch😂,Negative
website use practise sql query,Neutral
sir alter table wali slide main add column aur drop column ka syntax main datatype miss hay,Positive
please suggest book learn practice sql,Positive
sharma ji ka beta jitna bhi naam kama le dil toh mishra ji hi le jayengeincrediblejob brother,Positive
order excucation select fromwherelimitgroup byhavingorder,Negative
hi couldnt find pdf link work,Neutral
select wheregroup orderby limit😋,Negative
sir sufficient placement,Neutral
select group limit order,Negative
amaze video learn alot thing,Positive
hi rishab one confusion create database sql system get autorestarted able find database sql create table help solution,Neutral
bhai mujhe import karne mei problem rhi h apne macbook mei please help,Neutral
fromwheregroup byhavingselectorder bylimit,Positive
know software r u use record videos wait kind reply,Neutral
like effectively everything describe hindi despite fact everyone speak comprehend english study mother tongue relatable want thank share expertise since motivate become data analyst,Positive
sir please bring course computer 12 class computer,Positive
select modecountamount number paymentwhere amount 2group modehaving countamount 4order number asclimit 2,Positive
2331 sir numeric integer kya difference hai,Neutral
good,Positive
select group order limit,Negative
slide link,Neutral
time slot 2645 name city jo upar nahi ara kaise laye ye,Negative
interview tomorrow start video yesterday almost revise everything thank much ☺,Positive
insert payment customeridamountmodepaymentdate cusersakshidownloadspaymentcsv delimeter csv headererror show msg 156 level 15 state 1 line 25 incorrect syntax near keyword completion time 20230803t20400261556370500,Positive
assignment 1 correct sequenceselectfromlimitwheregroup byhavingorder,Positive
assignment window function select newid leadnewid2 overorder newid leadlagnewid2 overorder newid lagfrom testdata3,Negative
bhai jyada accha nhi lgi meko especially join section,Neutral
think different level rishabh bro selfjoin,Positive
select limit group havingorder,Negative
25 hour sql samaj jati kya,Neutral
fantastic tutorial watch watch installation practice hope good would like thank fantastic working,Positive
clean well explain bro first time watch video never get bored,Negative
one question add column use alter table insert value,Negative
,Positive
phone column banana hai exist table uska data null aa rha hai kya krre oe wo change bhi nhiho rha,Neutral
want note,Positive
hello sir face problem insert value table eg column name relation table name exist please help,Neutral
start 2 august 2023 time 313 pm,Negative
hi try write column name double quote insert customer id name age city salary value work,Neutral
hello sir sir kya ap ake video bana saqta hai jab data table add karta hu tu muja ya error data hai error relation customer exist line 1 insert customer,Neutral
watch amaze skill new subscriber love content ❤,Positive
hey rishab complete whole video really amazing thanks bro one question begin whole video enough right get job,Positive
word thank much wonderful videocleared doubt,Positive
helpful everything nicely explain u find less people explain subject wd ease hindi thank rishabh able download ppt though please guide,Neutral
numeric represent datatype,Positive
assignment 1 select group order limit,Negative
hi doubt sql query fee hold credit card pay every month cost charge month 5 however charge give month make least three credit card payment total cost least 100 within month note fee include supplied history transactionsat begin year balance account 0 task compute balance end yearyou give table transaction follow structurecreate table transaction amount integer nulldate date nulleach row table contain information single transaction amount money amount date transaction happen date amount value negative credit card payment otherwise incoming transfer transaction amount 0write sql query return table contain one column balance table contain one row total balance account end year include fee hold credit cardexamples1 give tableamount date200 20201010 75 20200120 75 20200312 50 20200317 20 20200315 10 20200114 5 20200125 4 20200129 40 20200315 200 20201010 1000 20200106 2000 20200310your query return 2746and query create table transaction amount integer date dateinsert transaction amount date value 1000 20200106 10 20200114 75 20200120 5 20200125 4 20200129 2000 20200310 75 20200312 20 20200315 40 20200315 50 20200317 200 20201010 200 20201010select transaction fee select extractmonth date month extractyear date yearfrom transactionsgroup month yearhaving sumcase amount 0 amount else 0 end 100 countcase amount 0 1 else 0 end 3select sumamount select count 5 fee balance transactionsbut result 2796,Neutral
group select order limit,Negative
assignment an sequence use sql statement select group order limit,Negative
hi rishabh everytime use alter function add column always get error postgresql alter table paymentadd column customeriderror syntax error end inputline 2 add column customerid let know wrong,Negative
great effort sir non background start learn today please guide install sql,Positive
good explanation simple language,Negative
hi rishabh create new table help code table name give create table help mouse click display publiccust cust right even u create mouse well,Neutral
hello sir query database use course like mysqlmssqloracle,Positive
please suggest install sql windows 10,Neutral
problem order custid asc,Negative
oder execution sql group select order limit,Negative
new learner incredibly helpful,Positive
great course explanation 👏👏thank,Positive
unable write properly select query full syntax course helpful work sap abap consultant abap basically sql query fetch data database dictionary,Positive
select group order limit,Negative
hi rishbabhawesome vedio provide u basic study sqlthank u,Neutral
sir concat limit function work,Positive
👍👍,Positive
start course 28723 amazing like undertanding thanks lot,Positive
sir sql program language🙄🤔,Positive
bhai want know someone fully beginner want pursue carrer data analytics suggest know first execel advance sql python,Positive
rishabh bhai apki link id share kr skty ho😊,Negative
hello enter new column alter table query put value,Neutral
hi rishabh tell find free server write query explain also practice,Neutral
way explain fantastic kudos effort put much well content compare many pay course look forward videos subject,Positive
hi sir learn sql postgresql different mysql learn mysql differently please advice,Positive
column name case sensitives insert data 2700 thanks advance,Positive
select table condition group column condition order asc limit 5,Negative
bhai abhi sirf 10 min hi howye video dekhty howyebro salute clearity explanation salute effort bro best work,Positive
please provide video performance tuning procedure function partition etc,Neutral
awesome videoany layman understand sql way explain thank much video,Positive
sql always scary thanks video absorb 90 make interested sql aswell,Positive
hi bhaiyya 1020 tell make diagram,Positive
1 select 2 3 4 group 5 6 order 7 limit,Negative
great bro nice work❤,Positive
please share 1st assignment mujhe comment groupby aur ke bad ki assignment nhi mil rhi hai,Neutral
thank exceptional instructor share knowledge enthusiasm,Positive
good job,Positive
fantastic explanation rishabh new sql go chapter 13your explanation crisp easy understand keep subscribed channel,Positive
union agr maran mohan different value ho tho,Neutral
bhiya 41 minute csv file mere fail import dikha rha hi,Neutral
thnksfull sir sql till best performance consept good clearly,Positive
sequance execution sql 1 from2 3 group by4 having5 select 6 order,Negative
thank brother video videosall helpful❤,Positive
hi sir sql platform need download practise sql,Neutral
execute insert value show error syntax error end inputline 2sql state42601,Negative
hi rishabh best video sql perfect teacher thanks lot god bless,Positive
salute hai aise teacher ko kash itna gyaan engineering college mai dete toh india kaha se kaha pohoch jatareally help full begineers learn scratch full practical aise teacher ko bharat ratna milna chahiye real hero society serve youth freekeep sir aur bhi ache beneficial video lekar aye data analyst fresher become expert one day 💐💯😇💞☺️,Positive
2000th comment,Positive
10003,Positive
really helpfull completemy 1st year 2 hoursaand like phir ye bhadak jayega😊,Positive
50 minute,Negative
nice video understand sql thank u much 🙏,Positive
amazing content,Negative
thank u bro great video,Positive
21423,Positive
one fine sql video yt 😍thank rishabh sir,Positive
ai go change field future scope,Negative
select limit group wherehaving order,Negative
one best sql tutorial youtube great work rishabh,Positive
order execution group select order limitsir could u please tell correctcompleted 1 hr video one go never enjoy study much thanks lot,Positive
hello sir order learn power bi till level must learn sql,Positive
10452 order execution select order limit group,Negative
amazing lecture,Neutral
15259,Positive
really appreciate ur effortfirst time able complete lengthy technical videowith proper understandingkeep upwe keep support u valuable content,Positive
bro software use able find app store please let know,Neutral
important video thank much sir,Positive
koi sql ka online platefoem suggest kro,Negative
sir new program get amaze 👏,Positive
734 sir data validation v laga skte hai sir excel,Positive
hello rishabh mei apne laptop i software ko install kar raha tha mene wo sab process follow kiya jo aap ne video bataya pehel postgresql download kiya pgadmin installation pgadmin open toh hua home page ya aur koi option nahi aa rahe kindly help install laptop configuration window 11 ram 8 ssd 256 gb space available 170 gb,Neutral
bhaiya mera andar install karne k baad load ho raha hai start nhi hora,Neutral
software namw,Positive
hey reshab mishra explination easy thank much,Positive
awosome explination,Positive
cte ke kuch question solution pr video bnayiye,Negative
thank rishab video,Positive
concept give note make thing easy devote time learn rather make note best 👍🏻👍🏻,Positive
helpful understand sql love pakistan lahore 🎉🎉🎉🎉🎉,Positive
hello rishabh sir get error open pgadmin4 error type fatal error please reply,Neutral
select int age numeric salary cant use int salary,Negative
ty much helpful videoplz update video data analytics related topic,Neutral
2918,Positive
sir update command work help,Positive
hi siri love way u taught simple manneru excellently sirthank sir,Positive
note dene ke liye thank u sir,Positive
group select order limit,Negative
thank much rishab video help lotlots respect gratitude 🙏🙏,Positive
sir help crack interview question,Positive
pdf,Neutral
helpful video sir thank video 🙏🙏🙏,Positive
sir please share excel data use practice purpose,Neutral
easy clear explanation sir❤,Neutral
good teacher teaching technique nice,Positive
bahut sahi,Positive
kindly make video procedure,Positive
would like thanks maharaj ji provide best tutorial note 🙏🤗,Positive
hei rishab sir give pdf,Neutral
rishabh sir awesome make learn sth difficult easy im learn sql first time come across video apprehensive topic thank enrich u learner share knowledge honest way,Positive
sir please tell install mysql laptop please make one video topic sirplease help,Positive
13222,Positive
group select order limit,Negative
hii differnce timestamptzplease answer,Positive
right answer assignment 01 table r work onwhere first condition checkedgroup group table basis conditionhavingusing condition group byselectselection element groupingorder byarranging element asc desclimit use limit end,Positive
bro dax query per bnao series puri sql ki video b bnayen,Negative
selectfromwherelimitgroup order,Positive
show error load csv file go property particular file right click go security tab display property dialog box click edit option permission dialog box appear click add button type everyone without apostrophe enter object name select description box click ok button make sure checkboxes permission everyone select tick full control check box allow control access without restriction apply ok tab apply change do,Negative
install windows system brother,Positive
hello sir maine recently aapki vedio dekhi aur maine sath sath practical bhi kiya mai m sql server use kr rha hu mujhe practice problem ho rhi hai aur mai usi pe work sikhna chahta hu possible give best solution issue,Positive
get pdf sql,Neutral
select limit group order,Negative
rishabh bhai get sw practice,Neutral
thank much amazing keep up❤,Positive
code github,Negative
hello rishabyou amazing soul learn powerbi able creat really interesting visualising dashboard sql course gaining confidence complete course yeah know need work project anazing skill make possible trust ourself step one step ahead towards dream data analyst thankyou much rishab grateful youthankyou help u spot light aspirant switch nonit itgrateful 😊🙏🙏🙏🙏🙏🙏☺️,Positive
hi rishabhim find job data analytics please help idea get job,Neutral
u r awesome bhaithe way hr explain veey niceone best sql video youtubeand important thing pdd bhai,Positive
pdf available ho skta hai,Neutral
hi dbms also require data analytics stick video,Neutral
join course,Positive
send ur email id want join course data analysis,Negative
hello sir table datatype modify kr raha hu alter function se pr muje ye error aa raha syntax error near numericage ka datatype integer usse numeric kar raha hualter table customer alter column age numeric right,Neutral
think 5 type sql command,Positive
difference numeric int,Positive
excellent tutorial,Positive
please share free platform pratice sql platform ask pay version pratice,Positive
sir aapne konsa sql use kiya h,Positive
select group order limit,Negative
thanks ton start learn sql video 🙏🙏,Positive
bhot achhe video h sir really useful sir thnku much,Positive
full tutorial really helpful new domain understand concept explain rishabh sir thank sir,Positive
try install pgadmin 4 app run successfully try 4 5 time happen installed micro soft sql totally different stuck table creation part last 3 hour able understand single thing idk try search similar course do ms sql video almost 4 5 year old anyone workaround please help,Positive
create table payment custid int8 primary keyamount bigintmode char20paymentdate date insert payment custidamountmodepaymentdate value 1100cash20200318date function im unable use cant find error query date comming null table plz help,Neutral
use mysql video,Negative
amazing lecture 🔥🔥,Neutral
lucky get teacher thank much sir,Positive
well explain,Positive
yeh insert customer custid custname age city salary value 1 sam 21 delhi 7000 2 ram 23 varanasi 9000 3 vijay 27jaipur 10000 4 sachin 28 goa 20000 error try multiple time issue error column custid relation customer exist line 2 custid custname age city salary sql state 42703 character 23aur aise kaafi saare error aarhe hai jabki mai sab kch follow kr rha hu plz help,Negative
bhai know basic sql query truncate order group alter delete update select cursor nvl else need consider apart thing learn video,Neutral
select group limit order,Negative
aapne jo string function bataya hame samajh mein bhi aagaya maine apply bhi kiya wo successful bhi ho gaya lekin jub maine ise select star statement apply kiya wo upper nahi low case mein show ho raha tha usmein lock icon bhi dikha raha tha,Positive
csv file,Neutral
python,Neutral
study computer science engineering even find interest c learn way teach make interesting want technology relate vdos,Neutral
thank u much bhaiya understand easily,Positive
useful video…thanku much…,Positive
sir sql course enough data analyst roleplz reply,Positive
get one subscriber 🎉,Positive
hello rishabh sir value insert kar raha hu fir bhi muje column salary relation cust exist ye error aa raha mene baki bhi try kiya fir bhi error plsss help😕😕,Positive
thank much sir 😊,Positive
informative video im face problem import data csvexcel need cte full outer join work command linekindly revert,Neutral
hi rishabh course cover every thing require data analyst role,Neutral
first discus download use pgadmin create data base folder,Neutral
sir make video tableau helpful thank much easy follow sql video certainly best sql video internet,Positive
thanx effort scroll saw video open see actually sql dont even know grab rough idea watch till 4th chapter kuchh kuchh aaya smjh look forward actually implement real life practically work company might look forward future actually make project sql might help theory part useful suggest actually make dataas practical knowledge skill evidence work know might really help pls tell proceed,Positive
best explanation 👍🏼,Positive
bhai aapko 4 hour ka video banana chahiye tha thoda detail low pace jo non wale hain unko bhi achhe se samjh aaye good video effort,Neutral
015020,Positive
make video pl sql,Positive
thank much brother really helpful,Positive
database complete,Neutral
select limit order group,Negative
nice sir,Positive
insert value table write column name well use double comma bcz suppose column roll give erroe,Neutral
select limit group limit order,Negative
awesome,Positive
great content thank yousuggesting content people across domain people prepare government job learn free skill youtube try keep busyskills acquire process help sustain long run thing didnt turn favour,Positive
sir ne basic information ko skip kiya haivideo thoda advance level ka haiagar koi first time dekh rha hai usko aisa confusion aayega isko kyokab aur kaha use karna hai video kafi topic cover hai ye achchhi bat hai beginner ke liye sahi nhi hai,Neutral
thanks video please add full subtitle video ❤,Positive
assignment 1 order execution sqlselectfromwheregroup order limit,Positive
insert customer custid custname age city salary value 1 sam 21 delhi 7000 2 ram 23 varanasi 9000 3 vijay 27jaipur 10000 4 sachin 28 goa 20000this error try multiple time issue sameerror column custid relation customer exist line 2 custid custname age city salary sql state 42703 character 23,Negative
thank rishab ameging,Positive
sir meine php developer work kiya hai 2 year ka experience hai lekin career gap bhi bahut hai1 year work kiya usk bad lockdown 17 month ka gap aaya usk bad 1 year kaam kiya par koi proper cod work mila nhi growth nhi hui aise mere 2 year complete hue php developer usk bad se kahi work kiya nhi abhi phir se 1 year ka gap aaya haimujhe basic sql aata hai mei agar achhese sql sikhlu kya mujhe job milegi,Positive
properly explained👍,Positive
love bodoland assam🎉,Positive
aap ka contact number please send karo,Positive
video excellent im sorry need english 😢 im confuse im change platform 😢 possible please make english too😊,Neutral
dhono table mein primary key hai foriegn key nahiye connect kaise hoga please clear,Neutral
addinsert date type insert value,Negative
please share pdf lecture want revision please share pdf content,Neutral
rishabh sir ka way teach bahut achchha hai god bless sir learn watch video,Positive
selectfrom wheregroup byhavingorder bylimit,Positive
nice video sir,Positive
3140385042164947112221330614125,Positive
face issue error syntax error near im solve problem,Neutral
assignment 1sequence 1select2from3where come select4group by5having come group always place group clause6oreder by7limit,Positive
10500 answer group select order limit 100 correct verify chatgpt correct order execution answer,Negative
whats difference sql mysqland learn,Positive
excellent,Positive
difference full join union show data multiple table,Positive
useful video bhai thanks,Positive
software name sir,Positive
awesome video thanks sir u give class,Positive
hey mere pdadmin main table create nahi ho raha koi help kr de please,Positive
order give assignmentselect column name table namewhere condition anygroup column nameshaving conditionsorder ascdesclimit 2,Neutral
could share emai idthank,Neutral
tq learn sql help interview ready,Positive
thank u much make videothis video really helpfull clear doubt thanks u,Positive
im issue value show upi tried multiple time please someone help,Positive
sir baaki sab toh theek h per ek hi video kitni ad lagaoge,Positive
course much good pay course,Positive
ever since join journey humble mark 700 subscriber witness growth fill heart boundless joy 🥳🥳the knowledge gain captivate video enrich life beyond measure leave indelible mark gratitude appreciation👍,Negative
hello rishabh 2 question way modify data type eg change size limit define basic difference char varchar,Neutral
thankyou sir,Positive
hello sir topic teach video sufficient grab data analytics intership,Neutral
teach style awesome please upload advance stuff love hong kong🙌🙌,Positive
sir please upload advance stuffs🙌🙌,Positive
love pakistan please add videos power bi paython,Positive
update value primary key rishabh,Neutral
selectfromwhere group byhavingorder bylimit,Positive
video highly useful picture quality aweful,Neutral
sir doubtin cte write multiple cte querry write cte expression start clause,Positive
selectfrom wheregroup order limit,Positive
sir plzz m sql pe video banaiye plzzzye bahut different haims sql se,Positive
hi rishabh make easy beginner like understand especially live video make interest learn thank ton,Positive
greate video honestly pure content 💯no faltu ki baatethank rishabh bhai🔥👌 thank provide notesrequest please bring one single video sql question interview,Positive
pdf,Neutral
select wheregroupby limt,Negative
finally complete yayyyyy create table rishabh mishragratitude char30insert rishabh mishar gratitudevaluesthank much video,Neutral
thank sooo much non background find ur video much helpful,Positive
thanks sir video understandable,Positive
010519the order execution ask question ie select group order limitlet know wrong right dear rishabh read comment man love admire work way teach seriously cost thats way expect era everyone wan na make way outif get job due teaching think surely mh dude surely gon na donate matter definitely bless people like lot lot love teaching dude❣❣❣,Positive
thanks lot sir worried sql keep,Positive
rushabh bhaiya add column name insert command give error gate success,Neutral
amaze session thanks lot 👍 help learn lot keep good work 👍👍👍 best luck 🤞🍀,Positive
please make video sa di,Positive
thank sir,Positive
thankyou,Positive
hi rishabh please also give example alter table akash alter column columnname datatype,Neutral
fresher salary,Positive
able import file excel sql please suggest im stuck,Neutral
thankyou sir,Positive
paaji tussi great ho taufa kabool kro,Positive
order execution sql are1 from2 3 group by4 having5 select6 order by7 limit,Positive
bhai cod seekhu ki ye job preference ke liye commerce brackgroundplease clear krdo,Neutral
thnq bhai,Neutral
hi face error insert data thru insert intoerror iserror column custid relation customer exist line 2 custid custname age city salary sql state 42703 character 24,Neutral
thank provide quality content though free cost 🙏♥️,Positive
order execution sql selectfromwheregroupbyhavingorderbylimit,Positive
hi rishabh thoughtfully explain please tell im work online platformapex oracle case create database,Neutral
please make video alter table facing issue,Positive
sir suggest certification course sql,Positive
